rowid,Id,Label,LinkUrl,CriticalityLevel,LineCount,VulnerabilityLevel,SCOLPScore,SCOLPScoreReversed
1,1,A,"https://github.com/torvalds/linux/blob/327eaf738ff97d19491362e30497954105d60414/fs/ext4/xattr.c, lines(1558-1795)",1,238,1,5,1
2,2,B,"https://github.com/torvalds/linux/blob/618d919cae2fcaadc752f27ddac8b939da8b441a/fs/cifs/smb2pdu.c, lines(3717-3792)",3,76,1,3,3
3,3,C,"https://github.com/torvalds/linux/blob/242658ff99ab9d87e704475ef78c3102ead344cf/sound/core/timer.c, lines(1660-1760)",2,101,1,4,2
4,4,D,"https://github.com/torvalds/linux/blob/8fde12ca79aff9b5ba951fce1a2641901b8d8e64/fs/fuse/dev.c, lines(2006-2088)",2,83,1,4,2
5,5,E,"https://github.com/torvalds/linux/blob/8fde12ca79aff9b5ba951fce1a2641901b8d8e64/fs/splice.c, lines(1512-1622)",2,111,1,3,3
6,6,F,"https://github.com/torvalds/linux/blob/5369a762c882c0b6e9599e4ebbb3a9ba9eee7e2d/fs/ext4/xattr.c, lines(2309-2455)",1,147,2,5,1
7,7,G,"https://github.com/torvalds/linux/blob/8605330aac5a5785630aec8f64378a54891937cc/net/core/skbuff.c, lines(3597-3687)",3,91,2,4,2
8,8,H,"https://github.com/torvalds/linux/blob/946e51f2bf37f1656916eb75bd0742ba33983c28/fs/dcache.c, lines(871-927)",4,57,2,3,3
9,9,I,"https://github.com/torvalds/linux/blob/daac07156b330b18eb5071aec4b3ddca1c377f2c/sound/usb/mixer.c, lines(1820-1987)",3,168,2,5,1
10,10,J,"https://github.com/torvalds/linux/blob/daac07156b330b18eb5071aec4b3ddca1c377f2c/sound/usb/mixer.c, lines(1028-1138)",4,111,2,5,1
11,11,K,"https://github.com/torvalds/linux/blob/36ae3c0a36b7456432fedce38ae2f7bd3e01a563/arch/x86/kvm/vmx.c, lines(6063-6139)",2,77,0,4,2
12,12,L,"https://github.com/torvalds/linux/blob/088aaf17aa79300cab14dbee2569c58cfafd7d6e/fs/cifs/smb2pdu.c, lines(3268-3349)",3,82,0,4,2
13,13,M,"https://github.com/torvalds/linux/blob/946e51f2bf37f1656916eb75bd0742ba33983c28/fs/dcache.c, lines(1021-1124)",1,104,1,5,1
14,14,N,"https://github.com/torvalds/linux/blob/15fab63e1e57be9fdb5eec1bbc5916e9825e9acb/mm/hugetlb.c, lines(1862-1921)",4,60,0,3,3
