rowid,Id,Name,FileSize_GB,Architecture,Parameters_B,ContextLength,EmbeddingLength,Quantization
1,1,deepseek-r1:32b,19,qwen2,32.8,131072,5120,Q4_K_M
2,2,falcon3:10b,6.3,llama,10.3,32768,3072,Q4_K_M
3,3,granite3.1-dense,5,granite,8,131072,4096,Q4_K_M
4,4,marco-o1,4.7,qwen2,7.6,32768,3584,Q4_K_M
5,5,qwen2.5-coder:32b,19,qwen2,32,32768,5120,Q4_K_M
6,6,phi4,9.1,phi3,14.7,16384,5120,Q4_K_M
7,7,codellama:34b,19,llama,33.7,16384,8192,Q4_0
8,8,gemma2:27b,15,gemma2,27.2,8192,4608,Q4_0
9,9,granite-code:34b,19,starcoder,33.7,8192,6144,Q4_0
10,10,codegeex4,5.5,chatglm,9.4,131072,4096,Q4_0
11,11,codestral,12,llama,22.2,32768,6144,Q4_0
12,12,mixtral:8x7b,26,llama,46.7,32768,4096,Q4_0
13,13,command-r,18,command-r,32.3,131072,8192,Q4_0
14,14,starcoder:15b,9,starcoder,15.8,8192,6144,Q4_0
15,15,qwq,19,qwen2,32.8,32768,5120,Q4_K_M
16,16,starcoder2:15b,9.1,starcoder2,16,16384,6144,Q4_0
17,17,deepseek-coder-v2,8.9,deepseek2,15.7,163840,2048,Q4_0
18,18,ChatGPT-4o,,,,,,
19,19,Gemini2-Flash,,,,,,
20,20,Claide3.7Sonnet,,,,,,
21,21,DeepSeekR1,,,,,,
